	time(s)		A (um-2)
   2.0151357e-05   9.4174136e+02
   2.0621218e-05   9.4046389e+02
   2.1102034e-05   9.3916021e+02
   2.1594062e-05   9.3782987e+02
   2.2097561e-05   9.3647242e+02
   2.2612801e-05   9.3508738e+02
   2.3140054e-05   9.3367428e+02
   2.3679601e-05   9.3223265e+02
   2.4231728e-05   9.3076201e+02
   2.4796729e-05   9.2926188e+02
   2.5374904e-05   9.2773177e+02
   2.5966560e-05   9.2617120e+02
   2.6572011e-05   9.2457966e+02
   2.7191579e-05   9.2295668e+02
   2.7825594e-05   9.2130174e+02
   2.8474392e-05   9.1961436e+02
   2.9138317e-05   9.1789402e+02
   2.9817723e-05   9.1614022e+02
   3.0512970e-05   9.1435246e+02
   3.1224428e-05   9.1253023e+02
   3.1952475e-05   9.1067302e+02
   3.2697497e-05   9.0878032e+02
   3.3459891e-05   9.0685162e+02
   3.4240061e-05   9.0488641e+02
   3.5038422e-05   9.0288419e+02
   3.5855399e-05   9.0084444e+02
   3.6691424e-05   8.9876665e+02
   3.7546942e-05   8.9665033e+02
   3.8422408e-05   8.9449495e+02
   3.9318288e-05   8.9230004e+02
   4.0235055e-05   8.9006507e+02
   4.1173199e-05   8.8778956e+02
   4.2133217e-05   8.8547302e+02
   4.3115620e-05   8.8311495e+02
   4.4120929e-05   8.8071488e+02
   4.5149678e-05   8.7827232e+02
   4.6202414e-05   8.7578681e+02
   4.7279696e-05   8.7325787e+02
   4.8382097e-05   8.7068506e+02
   4.9510202e-05   8.6806792e+02
   5.0664610e-05   8.6540600e+02
   5.1845935e-05   8.6269888e+02
   5.3054805e-05   8.5994612e+02
   5.4291862e-05   8.5714733e+02
   5.5557762e-05   8.5430208e+02
   5.6853179e-05   8.5141000e+02
   5.8178801e-05   8.4847071e+02
   5.9535331e-05   8.4548383e+02
   6.0923492e-05   8.4244902e+02
   6.2344019e-05   8.3936594e+02
   6.3797668e-05   8.3623426e+02
   6.5285211e-05   8.3305368e+02
   6.6807439e-05   8.2982392e+02
   6.8365160e-05   8.2654469e+02
   6.9959202e-05   8.2321575e+02
   7.1590411e-05   8.1983686e+02
   7.3259654e-05   8.1640780e+02
   7.4967819e-05   8.1292839e+02
   7.6715812e-05   8.0939844e+02
   7.8504562e-05   8.0581781e+02
   8.0335020e-05   8.0218637e+02
   8.2208158e-05   7.9850402e+02
   8.4124970e-05   7.9477068e+02
   8.6086477e-05   7.9098629e+02
   8.8093719e-05   7.8715083e+02
   9.0147763e-05   7.8326429e+02
   9.2249701e-05   7.7932670e+02
   9.4400648e-05   7.7533812e+02
   9.6601748e-05   7.7129862e+02
   9.8854170e-05   7.6720832e+02
   1.0115911e-04   7.6306737e+02
   1.0351780e-04   7.5887594e+02
   1.0593148e-04   7.5463423e+02
   1.0840144e-04   7.5034248e+02
   1.1092899e-04   7.4600096e+02
   1.1351547e-04   7.4160998e+02
   1.1616226e-04   7.3716986e+02
   1.1887077e-04   7.3268098e+02
   1.2164243e-04   7.2814375e+02
   1.2447871e-04   7.2355861e+02
   1.2738113e-04   7.1892602e+02
   1.3035122e-04   7.1424651e+02
   1.3339057e-04   7.0952061e+02
   1.3650078e-04   7.0474891e+02
   1.3968351e-04   6.9993202e+02
   1.4294045e-04   6.9507060e+02
   1.4627334e-04   6.9016534e+02
   1.4968393e-04   6.8521697e+02
