iter A R
1086000 1 1432
1087000 1 1432
1088000 1 1425
1089000 0 1426
1090000 0 1423
1091000 1 1425
1092000 0 1428
1093000 0 1427
1094000 0 1432
1095000 1 1429
1096000 0 1423
1097000 0 1416
1098000 0 1422
1099000 0 1421
1100000 0 1420
1101000 0 1417
1102000 0 1418
1103000 0 1423
1104000 0 1426
1105000 1 1428
1106000 0 1428
1107000 0 1428
1108000 1 1430
1109000 0 1426
1110000 1 1425
1111000 0 1422
1112000 0 1420
1113000 0 1418
1114000 1 1421
1115000 0 1417
1116000 0 1418
1117000 0 1416
1118000 0 1414
1119000 0 1414
1120000 0 1414
1121000 0 1417
1122000 2 1415
1123000 0 1413
1124000 0 1415
1125000 0 1416
1126000 1 1415
1127000 0 1417
1128000 0 1412
1129000 0 1411
1130000 0 1415
1131000 0 1418
1132000 0 1416
1133000 2 1416
1134000 0 1413
1135000 0 1410
1136000 0 1409
1137000 1 1411
1138000 2 1406
1139000 1 1402
1140000 1 1397
1141000 0 1392
1142000 0 1389
1143000 0 1383
1144000 0 1378
1145000 1 1379
1146000 1 1378
1147000 1 1374
1148000 0 1369
1149000 0 1372
1150000 0 1368
1151000 1 1364
1152000 1 1359
1153000 0 1356
1154000 0 1356
1155000 0 1350
1156000 1 1352
1157000 1 1352
1158000 0 1351
1159000 2 1344
1160000 0 1333
1161000 1 1332
1162000 2 1323
1163000 1 1318
1164000 1 1319
1165000 1 1316
1166000 0 1318
1167000 1 1317
1168000 2 1319
1169000 0 1318
1170000 2 1316
1171000 0 1317
1172000 0 1316
1173000 0 1317
1174000 0 1318
1175000 0 1317
1176000 0 1315
1177000 0 1315
1178000 0 1316
1179000 0 1317
1180000 0 1312
1181000 0 1318
1182000 0 1315
1183000 0 1314
1184000 2 1313
1185000 0 1304
1186000 0 1297
1187000 0 1298
1188000 0 1297
1189000 0 1297
1190000 0 1296
1191000 0 1292
1192000 0 1292
1193000 1 1290
1194000 1 1290
1195000 0 1283
1196000 1 1279
1197000 2 1281
1198000 1 1280
1199000 0 1274
1200000 0 1271
1201000 0 1269
1202000 1 1272
1203000 1 1270
1204000 0 1270
1205000 1 1267
1206000 0 1269
1207000 0 1270
1208000 1 1270
1209000 1 1266
1210000 0 1266
1211000 1 1265
1212000 0 1266
1213000 1 1266
1214000 1 1263
1215000 0 1258
1216000 0 1256
1217000 1 1250
1218000 0 1245
1219000 1 1240
1220000 1 1237
1221000 1 1232
1222000 1 1230
1223000 2 1228
1224000 3 1222
1225000 0 1215
1226000 3 1217
1227000 0 1212
1228000 0 1212
1229000 2 1208
1230000 1 1200
1231000 0 1193
1232000 2 1194
1233000 1 1183
1234000 1 1182
1235000 1 1178
1236000 2 1172
1237000 0 1163
1238000 0 1162
1239000 1 1161
1240000 0 1159
1241000 1 1159
1242000 0 1156
1243000 0 1155
1244000 1 1157
1245000 0 1156
1246000 1 1154
1247000 0 1154
1248000 0 1154
1249000 0 1153
1250000 1 1155
1251000 0 1154
1252000 0 1151
1253000 0 1155
1254000 1 1154
1255000 0 1152
1256000 0 1150
1257000 0 1151
1258000 0 1152
1259000 0 1147
1260000 1 1146
1261000 1 1140
1262000 1 1138
1263000 0 1137
1264000 0 1136
1265000 0 1136
1266000 0 1135
1267000 1 1132
1268000 1 1128
1269000 0 1131
1270000 0 1131
1271000 1 1129
1272000 0 1126
1273000 1 1132
1274000 0 1130
1275000 1 1131
1276000 1 1128
1277000 0 1129
1278000 1 1128
1279000 0 1123
1280000 0 1117
1281000 0 1117
1282000 2 1115
1283000 0 1110
1284000 0 1106
1285000 0 1105
1286000 0 1102
1287000 1 1101
1288000 1 1093
1289000 1 1092
1290000 0 1089
1291000 0 1086
1292000 2 1081
1293000 0 1081
1294000 0 1080
1295000 0 1078
1296000 0 1081
1297000 0 1079
1298000 0 1081
1299000 0 1082
1300000 0 1077
1301000 1 1071
1302000 1 1072
1303000 0 1070
1304000 0 1065
1305000 0 1059
1306000 2 1054
1307000 0 1049
1308000 0 1050
1309000 0 1056
1310000 0 1057
1311000 0 1058
1312000 0 1057
1313000 0 1054
1314000 0 1054
1315000 0 1054
1316000 1 1054
1317000 1 1054
1318000 1 1052
1319000 1 1048
1320000 0 1049
1321000 0 1046
1322000 1 1042
1323000 1 1043
1324000 0 1041
1325000 0 1041
1326000 1 1046
1327000 1 1044
1328000 0 1038
1329000 0 1036
1330000 0 1035
1331000 0 1036
1332000 0 1032
1333000 1 1033
1334000 0 1031
1335000 0 1025
1336000 2 1025
1337000 1 1023
1338000 1 1019
1339000 1 1021
1340000 0 1020
1341000 1 1013
1342000 1 1013
1343000 2 1013
1344000 1 1012
1345000 1 1009
1346000 1 1012
1347000 0 1010
1348000 1 1009
1349000 0 1008
1350000 1 1010
1351000 0 1010
1352000 0 1010
1353000 1 1011
1354000 0 1011
1355000 0 1012
1356000 1 1013
1357000 0 1010
1358000 0 1006
1359000 0 1002
1360000 0 1001
1361000 0 1003
1362000 0 1004
1363000 1 1004
1364000 2 1002
1365000 1 1002
1366000 1 997
1367000 0 996
1368000 2 994
1369000 1 992
1370000 0 988
1371000 0 989
1372000 0 989
1373000 0 992
1374000 0 987
1375000 0 987
1376000 0 985
1377000 0 983
1378000 2 978
1379000 0 975
1380000 1 978
1381000 0 980
1382000 0 978
1383000 1 980
1384000 0 975
1385000 1 977
1386000 0 977
1387000 0 977
1388000 1 974
1389000 0 971
1390000 0 974
1391000 0 975
1392000 1 978
1393000 0 973
1394000 0 969
1395000 0 970
1396000 0 970
1397000 1 969
1398000 0 969
1399000 0 971
1400000 2 971
1401000 1 969
1402000 2 966
1403000 2 966
1404000 1 964
1405000 2 965
1406000 0 960
1407000 1 954
1408000 0 950
1409000 0 947
1410000 0 944
1411000 0 944
1412000 0 944
1413000 1 944
1414000 0 938
1415000 1 942
1416000 0 939
1417000 0 939
1418000 0 938
1419000 0 939
1420000 0 938
1421000 0 938
1422000 0 937
1423000 0 932
1424000 0 931
1425000 0 932
1426000 0 930
1427000 0 931
1428000 1 931
1429000 1 928
1430000 0 927
1431000 1 928
1432000 0 930
1433000 0 927
1434000 0 924
1435000 0 924
1436000 2 927
1437000 1 925
1438000 1 924
1439000 1 921
1440000 0 918
1441000 1 918
1442000 0 916
1443000 1 918
1444000 2 914
1445000 0 906
1446000 3 906
1447000 1 899
1448000 2 900
1449000 1 899
1450000 0 895
1451000 1 893
1452000 1 892
1453000 0 887
1454000 0 887
1455000 0 879
1456000 1 882
1457000 0 883
1458000 1 883
1459000 1 880
1460000 0 878
1461000 1 876
1462000 1 871
1463000 0 867
1464000 0 867
1465000 0 870
1466000 0 871
1467000 1 867
1468000 0 867
1469000 0 867
1470000 0 865
1471000 0 865
1472000 0 864
1473000 0 864
1474000 0 864
1475000 0 862
1476000 0 861
1477000 0 862
1478000 1 859
1479000 1 856
1480000 2 856
1481000 0 856
1482000 1 856
1483000 1 851
1484000 1 848
1485000 0 846
1486000 0 846
1487000 1 843
1488000 0 842
1489000 0 842
1490000 1 838
1491000 0 835
1492000 1 830
1493000 1 833
1494000 2 832
1495000 1 830
1496000 1 822
1497000 0 819
1498000 0 819
1499000 0 817
1500000 0 814
1501000 0 814
1502000 2 812
1503000 2 810
1504000 2 804
1505000 2 802
1506000 0 795
1507000 0 792
1508000 2 791
1509000 1 785
1510000 1 784
1511000 1 779
1512000 0 785
1513000 1 786
1514000 1 786
1515000 0 785
1516000 1 781
1517000 0 778
1518000 0 776
1519000 0 775
1520000 2 775
1521000 1 773
1522000 0 772
1523000 0 767
1524000 0 769
1525000 0 770
1526000 0 769
1527000 1 765
1528000 2 763
1529000 1 761
1530000 3 756
1531000 0 745
1532000 2 748
1533000 2 743
1534000 0 733
1535000 2 731
1536000 0 728
1537000 1 725
1538000 2 728
1539000 0 727
1540000 0 723
1541000 0 721
1542000 0 722
1543000 0 722
1544000 0 726
1545000 1 724
1546000 0 725
1547000 0 728
1548000 1 728
1549000 2 726
1550000 0 723
1551000 1 722
1552000 0 721
1553000 0 720
1554000 0 717
1555000 1 716
1556000 1 714
1557000 1 714
1558000 2 714
1559000 0 709
1560000 0 707
1561000 3 706
1562000 0 700
1563000 1 705
1564000 1 703
1565000 1 705
1566000 0 703
1567000 0 700
1568000 2 701
1569000 0 699
1570000 1 699
1571000 1 699
1572000 0 696
1573000 0 694
1574000 0 694
1575000 0 692
1576000 0 692
1577000 1 691
1578000 0 690
1579000 0 690
1580000 0 693
1581000 0 691
1582000 0 688
1583000 1 688
1584000 0 687
1585000 0 684
1586000 1 683
1587000 1 680
1588000 0 679
1589000 0 682
1590000 2 679
1591000 0 675
1592000 0 671
1593000 0 670
1594000 3 670
1595000 3 665
1596000 2 666
1597000 1 660
1598000 1 660
1599000 2 658
1600000 1 655
1601000 1 652
1602000 1 649
1603000 1 646
1604000 0 648
1605000 0 647
1606000 0 648
1607000 0 648
1608000 0 649
1609000 0 647
1610000 2 649
1611000 1 647
1612000 0 646
1613000 2 646
1614000 1 644
1615000 2 642
1616000 1 639
1617000 0 635
1618000 0 632
1619000 0 634
1620000 0 637
1621000 0 639
1622000 1 641
1623000 0 641
1624000 0 643
1625000 0 641
1626000 0 640
1627000 2 643
1628000 0 643
1629000 1 645
1630000 0 645
1631000 1 648
1632000 1 646
1633000 1 642
1634000 1 643
1635000 1 641
1636000 0 640
1637000 0 641
1638000 2 639
1639000 0 638
1640000 1 639
1641000 0 641
1642000 1 641
1643000 1 639
1644000 1 644
1645000 1 639
1646000 0 638
1647000 1 641
1648000 0 639
1649000 1 635
1650000 0 632
1651000 3 631
1652000 0 628
1653000 0 630
1654000 0 631
1655000 0 630
1656000 1 630
1657000 1 628
1658000 0 628
1659000 0 629
1660000 0 631
1661000 0 631
1662000 0 631
1663000 0 633
1664000 1 636
1665000 1 633
1666000 3 634
1667000 0 631
1668000 0 629
1669000 0 630
1670000 0 630
1671000 1 631
1672000 0 630
1673000 1 632
1674000 2 631
1675000 2 628
1676000 0 626
1677000 0 625
1678000 1 623
1679000 0 619
1680000 2 615
1681000 1 613
1682000 0 613
1683000 0 614
1684000 0 614
1685000 1 614
1686000 1 613
1687000 0 611
1688000 0 612
1689000 0 614
1690000 2 614
1691000 0 614
1692000 1 617
1693000 0 612
1694000 0 610
1695000 0 609
1696000 2 606
1697000 1 601
1698000 1 603
1699000 3 596
1700000 1 593
1701000 1 588
1702000 0 585
1703000 1 585
1704000 1 581
1705000 3 580
1706000 0 574
1707000 2 575
1708000 2 567
1709000 1 567
1710000 1 566
1711000 1 564
1712000 2 564
1713000 1 564
1714000 0 560
1715000 0 559
1716000 1 555
1717000 2 560
1718000 0 554
1719000 2 555
1720000 2 549
1721000 0 545
1722000 1 547
1723000 1 547
1724000 0 549
1725000 1 549
1726000 1 548
1727000 1 546
1728000 1 544
1729000 1 543
1730000 1 544
1731000 1 542
1732000 1 541
1733000 0 541
1734000 1 541
1735000 1 541
1736000 0 546
1737000 1 546
1738000 0 542
1739000 1 541
1740000 1 541
1741000 0 540
1742000 0 538
1743000 0 537
1744000 0 538
1745000 1 535
1746000 1 532
1747000 1 528
1748000 1 527
1749000 2 526
1750000 0 524
1751000 4 519
1752000 3 517
