	time(s)     copy nums
   9.1605985e-03   9.2454111e+00
   9.4613238e-03   8.8402687e+00
   9.7719213e-03   1.0199439e+01
   1.0092715e-02   1.0161317e+01
   1.0424040e-02   1.0337111e+01
   1.0766242e-02   1.0643101e+01
   1.1119677e-02   9.2588482e+00
   1.1484715e-02   1.0929502e+01
   1.1861737e-02   9.5183803e+00
   1.2251136e-02   9.6557861e+00
   1.2653318e-02   9.9120026e+00
   1.3068702e-02   1.2639924e+01
   1.3497723e-02   1.3045619e+01
   1.3940828e-02   1.3066226e+01
   1.4398480e-02   1.0490708e+01
   1.4871155e-02   7.4285933e+00
   1.5359347e-02   8.7490099e+00
   1.5863565e-02   9.1963591e+00
   1.6384336e-02   9.6735969e+00
   1.6922204e-02   1.0839127e+01
   1.7477728e-02   1.4048806e+01
   1.8051489e-02   1.0939795e+01
   1.8644085e-02   1.2411828e+01
   1.9256136e-02   1.0444469e+01
   1.9888279e-02   8.8859540e+00
   2.0541173e-02   8.2634913e+00
   2.1215502e-02   9.9280574e+00
   2.1911967e-02   7.7985991e+00
   2.2631296e-02   8.3300610e+00
   2.3374239e-02   9.9664875e+00
   2.4141571e-02   1.1429612e+01
   2.4934094e-02   1.0031289e+01
   2.5752633e-02   1.0159039e+01
   2.6598044e-02   1.1767347e+01
   2.7471208e-02   9.1016621e+00
   2.8373036e-02   8.5282149e+00
   2.9304470e-02   9.9159872e+00
   3.0266481e-02             NaN
   3.1260072e-02             NaN
   3.2286282e-02             NaN
   3.3346180e-02             NaN
   3.4440873e-02             NaN
   3.5571502e-02             NaN
   3.6739248e-02             NaN
   3.7945328e-02             NaN
   3.9191002e-02             NaN
   4.0477570e-02             NaN
   4.1806372e-02             NaN
   4.3178797e-02             NaN
   4.4596276e-02             NaN
   4.6060288e-02             NaN
   4.7572361e-02             NaN
   4.9134073e-02             NaN
   5.0747052e-02             NaN
   5.2412983e-02             NaN
   5.4133603e-02             NaN
   5.5910708e-02             NaN
   5.7746152e-02             NaN
   5.9641849e-02             NaN
   6.1599780e-02             NaN
   6.3621985e-02             NaN
   6.5710575e-02             NaN
   6.7867731e-02             NaN
   7.0095701e-02             NaN
   7.2396811e-02             NaN
   7.4773463e-02             NaN
   7.7228136e-02             NaN
   7.9763391e-02             NaN
   8.2381873e-02             NaN
   8.5086316e-02             NaN
   8.7879540e-02             NaN
   9.0764461e-02             NaN
   9.3744088e-02             NaN
   9.6821531e-02             NaN
   1.0000000e-01             NaN
