t(s)	A(µM)	AB(µM)	ABC(1/µm^2)	AC(1/µm^2)	(Var=B) B(µM)	BAC(1/µm^2)	BC(1/µm^2)	C(1/µm^2)	CABC(1/µm^2)
0.015418224234362269	0.842974022690231	5.448413621809527E-4	0.028962353976185646	415.88377146445134	0.842974022690231	0.02896235397618565	415.88377146445134	16056.706336578804	55.2340978959158
0.01584907239487857	0.8390563879775612	5.548005172346334E-4	0.029540154045941607	423.8952640307058	0.8390563879775612	0.029540154045941607	423.8952640307058	16033.174915901662	58.98773786816278
0.01666968824374636	0.8316592699219574	5.731413152711023E-4	0.03061197380213543	438.61078646762326	0.8316592699219575	0.03061197380213543	438.61078646762326	15988.741016659276	66.4880932326819
0.017490304092614147	0.8243459589092109	5.906809243877283E-4	0.031647435165054943	452.6239209571391	0.8243459589092109	0.031647435165054943	452.6239209571391	15944.806917721915	74.44097275048334
0.01805136479580203	0.8193934718759841	6.022250242131484E-4	0.03233523409103701	461.8075658437787	0.8193934718759841	0.032335234091037016	461.8075658437788	15915.053234398525	80.13348172661267
0.01861242549898991	0.8144793029639948	6.134146749700784E-4	0.033007218636872455	470.67407789952244	0.8144793029639948	0.03300721863687244	470.67407789952256	15885.528142063047	86.02884385406232
0.019173486202177792	0.8096031084271363	6.242577142571919E-4	0.03366386492841321	479.22849883259653	0.8096031084271363	0.033663864928413195	479.22849883259664	15856.229618779067	92.12302791668701
0.019734546905365673	0.8047645470726015	6.347618093694522E-4	0.034305645505279064	487.47610573181316	0.8047645470726015	0.034305645505279064	487.4761057318133	15827.155656953739	98.41176014955731
0.020295607608553555	0.799963280233723	6.449344612007218E-4	0.03493302835844638	495.4223842840435	0.799963280233723	0.034933028358446375	495.42238428404363	15798.304263195803	104.89055109344224
0.020856668311741437	0.7951989717524969	6.547830079726393E-4	0.0355464760077126	503.073003117384	0.7951989717524969	0.03554647600771259	503.0730031173842	15769.673458230944	111.55472129488172
0.021417729014929318	0.7904712879646714	6.643146288992371E-4	0.036146444824358546	510.43378916298644	0.7904712879646714	0.036146444824358546	510.4337891629866	15741.261276832716	118.39942597957646
0.0219787897181172	0.7857798976854351	6.7353634781308E-4	0.03673338433803772	517.5107040411547	0.7857798976854351	0.03673338433803772	517.5107040411548	15713.065767756802	125.4196786998517
0.02253985042130508	0.7811244721980195	6.824550367109316E-4	0.037307736526554315	524.3098215739496	0.7811244721980195	0.0373077365265543	524.3098215739498	15685.084993692306	132.61037384711582
0.023100911124492963	0.7765046852467302	6.910774191909156E-4	0.037869935322439034	530.8373064990489	0.7765046852467302	0.03786993532243903	530.837306499049	15657.317031239505	139.9663079496216
0.023661971827680844	0.7719202130334478	6.994100737931934E-4	0.038420406166319684	537.0993943875199	0.7719202130334478	0.038420406166319684	537.09939438752	15629.759970907993	147.48219975606264
0.024223032530868726	0.7673707342160286	7.074594372658124E-4	0.03895956550258433	543.1023727399402	0.7673707342160286	0.038959565502584316	543.1023727399403	15602.411917125717	155.15270913544373
0.024784093234056608	0.762855929908055	7.15231807761124E-4	0.03948782044470768	548.8525632494836	0.762855929908055	0.03948782044470767	548.8525632494838	15575.270988256048	162.9724548057925
0.02534515393724449	0.7583754836801389	7.227333479564522E-4	0.040005568537638946	554.3563052323562	0.7583754836801389	0.040005568537638946	554.3563052323564	15548.335316623954	170.9360308908748
0.02590621464043237	0.7539290815628131	7.299700880959052E-4	0.04051319743588415	559.6199402164469	0.7539290815628131	0.040513197435884135	559.619940216447	15521.603048551075	179.0380223143249
0.026467275343620252	0.7495164120506098	7.36947928957416E-4	0.04101108469435964	564.6497976624165	0.7495164120506098	0.04101108469435963	564.6497976624166	15495.072344397748	187.2730190577597
0.027028336046808134	0.7451371661068606	7.436726447504218E-4	0.041499597706316275	569.4521817832227	0.7451371661068606	0.04149959770631628	569.4521817832228	15468.741378609235	195.63562931819806
0.027589396749996015	0.7407910371689658	7.501498859464148E-4	0.04197909354674914	574.0333594279432	0.7407910371689658	0.04197909354674914	574.0333594279433	15442.608339764181	204.1204916001638
0.028150457453183897	0.7364777211540227	7.563851820425334E-4	0.04244991885050486	578.3995489957483	0.7364777211540227	0.04244991885050484	578.3995489957484	15416.671430624916	212.72228577668716
0.02871151815637178	0.7321969164646814	7.623839442590658E-4	0.04291240988386666	582.5569103426138	0.7321969164646814	0.042912409883866666	582.556910342614	15390.928868189105	221.4357431566936
0.02927257885955966	0.7279483239950568	7.68151468172981E-4	0.04336689253044979	586.5115356343382	0.7279483239950568	0.04336689253044979	586.5115356343383	15365.37888374118	230.25565560628567
0.02983363956274754	0.723731647136388	7.736929362898075E-4	0.04381368228230264	590.2694411262623	0.723731647136388	0.04381368228230261	590.2694411262624	15340.019722901892	239.17688374425308
0.030394700265935423	0.7195465917825153	7.790134205552987E-4	0.04425308431013681	593.8365597835293	0.7195465917825153	0.04425308431013681	593.8365597835294	15314.849645676566	248.19436429762138
0.030955760969123305	0.7153928663349474	7.841178848082066E-4	0.04468539362216026	597.2187347239501	0.7153928663349474	0.04468539362216027	597.2187347239502	15289.866926500697	257.3031166358228
0.031516821672311186	0.7112701817074016	7.890111871755377E-4	0.04511089513975972	600.4217134444857	0.7112701817074016	0.0451108951397597	600.4217134444858	15265.069854281877	266.4982485231801
0.032077882375499064	0.7071782513297545	7.936980824117671E-4	0.045529863785616576	603.4511427796109	0.7071782513297545	0.04552986378561656	603.451142779611	15240.456732437837	275.7749611414293
0.03263894307868694	0.7031167911513443	7.981832241834939E-4	0.04594256471896619	606.3125645419574	0.7031167911513443	0.04594256471896622	606.3125645419575	15216.025878930575	285.12855343177995
0.03320000378187482	0.699085519643557	8.02471167300905E-4	0.0463492535042255	609.0114118031888	0.699085519643557	0.04634925350422549	609.0114118031889	15191.775626295705	294.5544257991988
0.0337610644850627	0.6950841578016301	8.065663698973018E-4	0.046750176195194705	611.5530057759871	0.6950841578016301	0.04675017619519465	611.5530057759872	15167.704321666602	304.04808321826084
0.03432212518825058	0.6911124291456291	8.104731955579455E-4	0.04714556960456769	613.9425532565515	0.6911124291456291	0.047145569604567714	613.9425532565516	15143.810326793653	313.60513778076137
0.034883185891438455	0.6871700597205687	8.14195915399496E-4	0.04753566158360734	616.1851445861146	0.6871700597205687	0.047535661583607364	616.1851445861147	15120.092018058067	323.2213107270123
0.03544424659462633	0.6832567780956582	8.177387101012463E-4	0.04792067108933343	618.2857520917185	0.6832567780956582	0.04792067108933336	618.2857520917186	15096.547786479694	332.89243400109
0.03600530729781421	0.6793723153626519	8.211056718893109E-4	0.04830080841382007	620.2492289692129	0.6793723153626519	0.04830080841382008	620.249228969213	15073.176037719497	342.6144513663695
0.03656636800100209	0.6755164051332935	8.243008064749355E-4	0.048676275595462434	622.0803085733864	0.6755164051332935	0.04867627559546251	622.0803085733866	15049.975192076667	352.38341911643
0.03712742870418997	0.6716887835358509	8.273280349480374E-4	0.04904726650695834	623.7836040813012	0.6716887835358509	0.04904726650695826	623.7836040813013	15026.943684479322	362.19550641627677
0.037688489407377845	0.6678891892107427	8.301911956270127E-4	0.0494139669412591	625.3636084961701	0.6678891892107427	0.04941396694125904	625.3636084961702	15004.079964469485	372.04699530589176
0.03824955011056572	0.6641173633052645	8.328940458659046E-4	0.049776555139087714	626.8246949608217	0.6641173633052645	0.049776555139087866	626.8246949608218	14981.38249618327	381.93428039614923
0.0388106108137536	0.6603730494674275	8.354402638199965E-4	0.05013520201872088	628.1711173516866	0.6603730494674275	0.050135202018720855	628.1711173516867	14958.849758324863	391.85386828760795
0.03937167151694148	0.6566559938389229	8.378334501707532E-4	0.05049007101424214	629.4070111259555	0.6566559938389229	0.050490071014241925	629.4070111259556	14936.480244134214	401.802376739667
0.03993273222012936	0.6529659450472307	8.400771298110885E-4	0.05084131859063105	630.5363943961138	0.6529659450472307	0.050841318590631214	630.5363943961139	14914.272461350703	411.7765336136876
0.040493792923317236	0.6493026541969025	8.42174753492001E-4	0.051189094836462605	631.5631692063515	0.6493026541969025	0.0511890948364627	631.5631692063516	14892.224932171737	421.7731756166871
