t	A	AB	ABC	AC	B	BAC	BC	C	CABC
0.8860000000000007	0.2885842587720904	4.15780209181211E-5	0.0029586951385585174	20.532357121460116	0.2885842587720904	0.0029586951385585174	20.532357121460116	3555.7955018596444	79.11084962917664
0.8870000000000007	0.288581620378647	4.1578104054427395E-5	0.0029587011888227007	20.532198086968197	0.288581620378647	0.0029587011888227007	20.532198086968197	3555.795496595142	79.11101128987823
0.8880000000000007	0.28857900471829534	4.157818647449606E-5	0.002958707186984036	20.532040422025528	0.28857900471829534	0.002958707186984036	20.532040422025528	3555.795491375963	79.1111715584028
0.8890000000000007	0.2885764114941434	4.1578268188619635E-5	0.0029587131336983063	20.53188410939117	0.2885764114941434	0.0029587131336983063	20.53188410939117	3555.795486201586	79.1113304522867
0.8900000000000007	0.2885738405942988	4.157834920038223E-5	0.002958719029228858	20.53172914214384	0.2885738405942988	0.002958719029228858	20.53172914214384	3555.7954810717656	79.11148797856157
0.8910000000000007	0.28857129165699613	4.1578429520653264E-5	0.002958724874446706	20.53157549737055	0.28857129165699613	0.002958724874446706	20.53157549737055	3555.7954759857344	79.11164416050245
0.8920000000000007	0.2885687646354744	4.157850915065684E-5	0.0029587306694558112	20.531423172345622	0.2885687646354744	0.0029587306694558112	20.531423172345622	3555.795470943416	79.1117990008789
0.8930000000000007	0.28856625908461464	4.1578588102562445E-5	0.0029587364151803745	20.531272142821233	0.28856625908461464	0.0029587364151803745	20.531272142821233	3555.795465944023	79.11195252438434
0.8940000000000007	0.2885637748043655	4.157866638465211E-5	0.002958742112027509	20.53112239810053	0.2885637748043655	0.002958742112027509	20.53112239810053	3555.7954609869234	79.11210474191319
0.8950000000000007	0.2885613117355671	4.157874399845056E-5	0.0029587477602585834	20.53097393126128	0.2885613117355671	0.0029587477602585834	20.53097393126128	3555.795456072241	79.11225566044864
0.8960000000000007	0.28855886982261425	4.1578820946189345E-5	0.0029587533600596567	20.530826737396612	0.28855886982261425	0.0029587533600596567	20.530826737396612	3555.7954511997846	79.11240528494926
0.8970000000000007	0.28855644893866167	4.157889723216197E-5	0.002958758911737148	20.53068080844864	0.28855644893866167	0.002958758911737148	20.53068080844864	3555.7954463693095	79.11255362360191
0.8980000000000007	0.28855404891151976	4.1578972861861085E-5	0.002958764415636286	20.530536135368102	0.28855404891151976	0.002958764415636286	20.530536135368102	3555.795441580405	79.11270068562624
