t	A	AB	ABC	AC	B	BAC	BC	C CABC
5.785000000000267	0.2669264027868471	4.319471470425057E-5	0.002817233495155484	19.995564622222297	0.2669264027868471	0.002817233495155484	19.995564622222297	3564.2871732735107	75.39962232731449
5.786000000000267	0.2669260986713737	4.31824932661038E-5	0.002817233509449431	19.9955645613293	0.2669260986713737	0.002817233509449431	19.9955645613293	3564.2871726406283	75.39962270462935
5.787000000000267	0.26692579524815363	4.317029840755371E-5	0.0028172335229692527	19.995564500575018	0.26692579524815363	0.0028172335229692527	19.995564500575018	3564.2871720092094	75.39962308108674
5.788000000000268	0.26692549251561265	4.3158130070679924E-5	0.0028172335377367142	19.995564439959313	0.26692549251561265	0.0028172335377367142	19.995564439959313	3564.2871713792206	75.3996234566845
5.789000000000268	0.26692519047218244	4.314598819794478E-5	0.0028172335521253113	19.99556437948184	0.26692519047218244	0.0028172335521253113	19.99556437948184	3564.2871707506633	75.3996238314302
5.790000000000268	0.2669248891162938	4.3133872731817283E-5	0.0028172335652765826	19.995564319142257	0.2669248891162938	0.0028172335652765826	19.995564319142257	3564.287170123524	75.39962420532699
5.791000000000269	0.2669245884463731	4.312178361472711E-5	0.0028172335789632265	19.995564258940227	0.2669245884463731	0.0028172335789632265	19.995564258940227	3564.287169497815	75.39962457837164
5.792000000000269	0.26692428846086425	4.3109720789500145E-5	0.0028172335931774227	19.99556419887547	0.26692428846086425	0.0028172335931774227	19.99556419887547	3564.287168873531	75.3996249505681
5.793000000000269	0.2669239891581978	4.309768419900404E-5	0.0028172336068845263	19.99556413894766	0.2669239891581978	0.0028172336068845263	19.99556413894766	3564.2871682506607	75.39962532191838
5.79400000000027	0.26692369053683657	4.3085673786133365E-5	0.0028172336205970895	19.995564079156555	0.26692369053683657	0.0028172336205970895	19.995564079156555	3564.2871676292075	75.39962569242262
5.79500000000027	0.26692339259520753	4.307368949387777E-5	0.0028172336347796435	19.995564019501685	0.26692339259520753	0.0028172336347796435	19.995564019501685	3564.2871670091877	75.39962606208627
5.79600000000027	0.26692309533176745	4.306173126544099E-5	0.0028172336486311958	19.995563959982896	0.26692309533176745	0.0028172336486311958	19.995563959982896	3564.2871663905375	75.39962643091023
5.797000000000271	0.26692279874496866	4.304979904422848E-5	0.0028172336628245185	19.995563900599848	0.26692279874496866	0.0028172336628245185	19.995563900599848	3564.287165773314	75.39962679889092
5.798000000000271	0.26692250283328905	4.3037892773804694E-5	0.0028172336762576954	19.99556384135217	0.26692250283328905	0.0028172336762576954	19.99556384135217	3564.287165157502	75.39962716604047
5.799000000000271	0.26692220759517715	4.3026012397636734E-5	0.002817233689857602	19.995563782239657	0.26692220759517715	0.002817233689857602	19.995563782239657	3564.2871645430714	75.39962753235373
5.800000000000272	0.26692191302909685	4.301415785930719E-5	0.002817233704105682	19.9955637232617	0.26692191302909685	0.002817233704105682	19.9955637232617	3564.287163930054	75.39962789783237
5.801000000000272	0.26692161913352047	4.3002329102674175E-5	0.002817233718154289	19.995563664418487	0.26692161913352047	0.002817233718154289	19.995563664418487	3564.2871633184072	75.39962826247954
5.802000000000272	0.2669213259069198	4.2990526071824225E-5	0.0028172337311954754	19.995563605709265	0.2669213259069198	0.0028172337311954754	19.995563605709265	3564.2871627081586	75.39962862630239
5.803000000000273	0.26692103334777767	4.297874871070465E-5	0.0028172337451009633	19.995563547134022	0.26692103334777767	0.0028172337451009633	19.995563547134022	3564.287162099302	75.39962898929575
5.804000000000273	0.2669207414545587	4.296699696358225E-5	0.0028172337579045153	19.995563488692255	0.2669207414545587	0.0028172337579045153	19.995563488692255	3564.2871614918417	75.39962935146376
5.805000000000273	0.2669204502257615	4.295527077456257E-5	0.0028172337721731576	19.995563430383793	0.2669204502257615	0.0028172337721731576	19.995563430383793	3564.2871608857386	75.39962971280484
5.806000000000274	0.2669201596598657	4.2943570088287475E-5	0.0028172337852053627	19.995563372208153	0.2669201596598657	0.0028172337852053627	19.995563372208153	3564.287160281039	75.39963007332939
5.807000000000274	0.26691986975535953	4.2931894849166E-5	0.002817233798510012	19.99556331416544	0.26691986975535953	0.002817233798510012	19.99556331416544	3564.287159677682	75.39963043303355
5.808000000000274	0.2669195805107318	4.292024500176072E-5	0.002817233812856212	19.99556325625483	0.2669195805107318	0.002817233812856212	19.99556325625483	3564.28715907572	75.39963079191605
5.809000000000275	0.266919291924487	4.2908620491047225E-5	0.002817233825505327	19.9955631984763	0.266919291924487	0.002817233825505327	19.9955631984763	3564.2871584751283	75.39963114998761
5.810000000000275	0.2669190039951266	4.289702126185771E-5	0.0028172338386486004	19.995563140829457	0.2669190039951266	0.0028172338386486004	19.995563140829457	3564.2871578758586	75.3996315072434
5.811000000000275	0.2669187167211556	4.288544725921605E-5	0.0028172338530617794	19.995563083314245	0.2669187167211556	0.0028172338530617794	19.995563083314245	3564.287157278004	75.39963186368242
5.812000000000276	0.26691843010107674	4.2873898428392074E-5	0.002817233866535409	19.99556302592998	0.26691843010107674	0.002817233866535409	19.99556302592998	3564.2871566814833	75.39963221931635
5.813000000000276	0.2669181441333908	4.28623747145935E-5	0.00281723387949572	19.99556296867666	0.2669181441333908	0.00281723387949572	19.99556296867666	3564.2871560863214	75.39963257414135
5.814000000000276	0.2669178588166278	4.285087606317966E-5	0.0028172338922945717	19.99556291155387	0.2669178588166278	0.0028172338922945717	19.99556291155387	3564.287155492501	75.39963292815298
5.815000000000277	0.26691757414930306	4.2839402419559706E-5	0.0028172339054271427	19.99556285456128	0.26691757414930306	0.0028172339054271427	19.99556285456128	3564.287154900048	75.39963328137138
5.816000000000277	0.2669172901299292	4.2827953729308224E-5	0.002817233919436318	19.995562797698664	0.2669172901299292	0.002817233919436318	19.995562797698664	3564.287154308925	75.39963363377879
5.817000000000277	0.26691700675702396	4.281652993831146E-5	0.0028172339324562773	19.99556274096567	0.26691700675702396	0.0028172339324562773	19.99556274096567	3564.287153719147	75.39963398538848
5.818000000000278	0.2669167240291345	4.2805130992492035E-5	0.002817233944158483	19.995562684362078	0.2669167240291345	0.002817233944158483	19.995562684362078	3564.2871531307283	75.39963433619972
5.819000000000278	0.2669164419447851	4.279375683758884E-5	0.0028172339574608	19.995562627887498	0.2669164419447851	0.0028172339574608	19.995562627887498	3564.287152543631	75.39963468620925
5.820000000000278	0.2669161605025054	4.278240741985628E-5	0.0028172339710541834	19.995562571541708	0.2669161605025054	0.0028172339710541834	19.995562571541708	3564.287151957871	75.39963503542522
5.821000000000279	0.2669158797008343	4.277108268548036E-5	0.002817233984854988	19.99556251532441	0.2669158797008343	0.002817233984854988	19.99556251532441	3564.2871513734444	75.39963538384538
5.822000000000279	0.2669155995383103	4.275978258082259E-5	0.0028172339980616938	19.995562459235288	0.2669155995383103	0.0028172339980616938	19.995562459235288	3564.287150790341	75.39963573147337
5.823000000000279	0.26691532001347573	4.274850705228517E-5	0.00281723401102016	19.99556240327408	0.26691532001347573	0.00281723401102016	19.99556240327408	3564.287150208566	75.39963607831113
