t	(Var=A) A	(Var=AB) AB	(Var=ABC) ABC	(Var=AC) AC	(Var=B) B	(Var=BAC) BAC	(Var=BC) BC	(Var=C) C	(Var=CABC) CABC
8.597907911950867E-5	0.9935608921705393	4.243604617560518E-6	6.405179257263006E-6	2.9130537140860087	0.9935608921705393	6.405179257263006E-6	2.9130537140860087	16993.17383526227	2.2249598728068697E-5
9.634829775106411E-5	0.9927873178701728	4.74796582194721E-6	7.538862061297177E-6	3.2630151076661877	0.9927873178701728	7.538862061297177E-6	3.2630151076661877	16992.47389382216	3.0442391390515772E-5
1.0671751638261955E-4	0.9920143857304939	5.25074215779219E-6	8.694456952130472E-6	3.612684814621179	0.9920143857304939	8.694456952130472E-6	3.612684814621179	16991.774532408344	4.028674949108363E-5
1.17086735014175E-4	0.9912420951689316	5.7519374511201105E-6	9.86504730374756E-6	3.9620629945039108	0.9912420951689316	9.86504730374756E-6	3.9620629945039108	16991.075750482993	5.1898953547551815E-5
1.2745595364573042E-4	0.9904704456035319	6.251555519063399E-6	1.1045716582939904E-5	4.311149806854418	0.9904704456035319	1.1045716582939904E-5	4.311149806854418	16990.377547512817	6.539102130231942E-5
1.3782517227728586E-4	0.9896994364529564	6.749600169963704E-6	1.223310102993475E-5	4.659945411200346	0.9896994364529564	1.223310102993475E-5	4.659945411200346	16989.679922968193	8.08716030733395E-5
1.481943909088413E-4	0.9889290671364704	7.246075203507073E-6	1.3424776807763236E-5	5.008449967058518	0.9889290671364704	1.3424776807763236E-5	5.008449967058518	16988.98287632191	9.844721013903227E-5
1.5856360954039675E-4	0.9881593370739407	7.740984410828114E-6	1.4618880725671361E-5	5.356663633935629	0.9881593370739407	1.4618880725671361E-5	5.356663633935629	16988.286407048417	1.1822297484655916E-4
1.689328281719522E-4	0.9873902456858328	8.23433157457143E-6	1.5813967576516575E-5	5.704586571328098	0.9873902456858328	1.5813967576516575E-5	5.704586571328098	16987.590514623535	1.4030293624722772E-4
1.8602286978013647E-4	0.9861240589104938	9.044043565062565E-6	1.7783000498819152E-5	6.27738219861181	0.9861240589104938	1.7783000498819152E-5	6.27738219861181	16986.444836045426	1.819956728225898E-4
2.0311291138832075E-4	0.9848596028714335	9.849539512097906E-6	1.9748543531914173E-5	6.849389234679511	0.9848596028714335	1.9748543531914173E-5	6.849389234679511	16985.30072066558	2.3068398882212615E-4
2.2020295299650502E-4	0.9835968749847132	1.0650836200864792E-5	2.170871661153183E-5	7.420608393411949	0.9835968749847132	2.170871661153183E-5	7.420608393411949	16984.158166155892	2.8681992360643407E-4
2.477494993844372E-4	0.9815651809273416	1.193360765214433E-5	2.4853925298799886E-5	8.339670117800603	0.9815651809273416	2.4853925298799886E-5	8.339670117800603	16982.31982182475	3.9411589897840507E-4
2.7529604577236936E-4	0.979537959223654	1.3205582331122425E-5	2.7979369242588434E-5	9.25668973795857	0.979537959223654	2.7979369242588434E-5	9.25668973795857	16980.485516983394	5.237909741685685E-4
3.0284259216030153E-4	0.9775151991250941	1.4466829523230084E-5	3.108421746583877E-5	10.171670242031105	0.9775151991250941	3.108421746583877E-5	10.171670242031105	16978.655241961067	6.776932148334591E-4
3.303891385482337E-4	0.9754968899126025	1.5717418104513836E-5	3.4168053025083695E-5	11.08461461759122	0.9754968899126025	3.4168053025083695E-5	11.08461461759122	16976.828987114186	8.576572623152063E-4
3.5793568493616587E-4	0.9734830208965148	1.6957416544563308E-5	3.7230445005720344E-5	11.99552585162871	0.9734830208965148	3.7230445005720344E-5	11.99552585162871	16975.006742825364	0.0010655052460078966
