	time(s)		A copies
   2.6510836e-06   9.9797014e+04
   2.7128978e-06   9.9792289e+04
   2.7761533e-06   9.9787454e+04
   2.8408837e-06   9.9782507e+04
   2.9071234e-06   9.9777446e+04
   2.9749075e-06   9.9772267e+04
   3.0442722e-06   9.9766967e+04
   3.1152542e-06   9.9761545e+04
   3.1878913e-06   9.9755997e+04
   3.2622220e-06   9.9750320e+04
   3.3382859e-06   9.9744511e+04
   3.4161233e-06   9.9738568e+04
   3.4957756e-06   9.9732487e+04
   3.5772851e-06   9.9726265e+04
   3.6606951e-06   9.9719898e+04
   3.7460500e-06   9.9713384e+04
   3.8333951e-06   9.9706719e+04
   3.9227768e-06   9.9699899e+04
   4.0142425e-06   9.9692922e+04
   4.1078409e-06   9.9685782e+04
   4.2036217e-06   9.9678478e+04
   4.3016358e-06   9.9671004e+04
   4.4019352e-06   9.9663357e+04
   4.5045733e-06   9.9655533e+04
   4.6096045e-06   9.9647527e+04
   4.7170847e-06   9.9639337e+04
   4.8270710e-06   9.9630957e+04
   4.9396217e-06   9.9622383e+04
   5.0547968e-06   9.9613610e+04
   5.1726574e-06   9.9604635e+04
   5.2932661e-06   9.9595452e+04
   5.4166869e-06   9.9586056e+04
   5.5429855e-06   9.9576444e+04
   5.6722290e-06   9.9566609e+04
   5.8044859e-06   9.9556546e+04
   5.9398267e-06   9.9546252e+04
   6.0783231e-06   9.9535719e+04
   6.2200488e-06   9.9524944e+04
   6.3650791e-06   9.9513919e+04
   6.5134909e-06   9.9502640e+04
   6.6653633e-06   9.9491100e+04
   6.8207767e-06   9.9479294e+04
   6.9798139e-06   9.9467216e+04
   7.1425593e-06   9.9454860e+04
   7.3090993e-06   9.9442218e+04
   7.4795225e-06   9.9429285e+04
   7.6539194e-06   9.9416054e+04
   7.8323826e-06   9.9402518e+04
   8.0150070e-06   9.9388670e+04
   8.2018895e-06   9.9374503e+04
   8.3931295e-06   9.9360010e+04
   8.5888286e-06   9.9345184e+04
   8.7890907e-06   9.9330016e+04
   8.9940222e-06   9.9314500e+04
   9.2037320e-06   9.9298627e+04
   9.4183315e-06   9.9282388e+04
   9.6379348e-06   9.9265777e+04
   9.8626585e-06   9.9248785e+04
   1.0092622e-05   9.9231402e+04
