	time (s)	 A copies (not exactly 1E5 due to volume/conc precision)
   5.9507027e-02   2.1991734e+03
   6.0874171e-02   2.1529811e+03
   6.2241316e-02   2.1088234e+03
   6.3608460e-02   2.0665716e+03
   6.4975605e-02   2.0261077e+03
   6.6342749e-02   1.9873232e+03
   6.7709893e-02   1.9501184e+03
   6.9077038e-02   1.9144011e+03
   7.0444182e-02   1.8800861e+03
   7.1811326e-02   1.8470948e+03
   7.3178471e-02   1.8153543e+03
   7.4545615e-02   1.7847968e+03
   7.5912759e-02   1.7553594e+03
   7.7279904e-02   1.7269836e+03
   7.8647048e-02   1.6996149e+03
   8.0014192e-02   1.6732024e+03
   8.1381337e-02   1.6476987e+03
   8.2748481e-02   1.6230593e+03
   8.4822922e-02   1.5872312e+03
   8.6897364e-02   1.5531643e+03
   8.8971806e-02   1.5207368e+03
   9.1046247e-02   1.4898381e+03
   9.3120689e-02   1.4603672e+03
   9.5195130e-02   1.4322318e+03
   9.7269572e-02   1.4053476e+03
   9.9344013e-02   1.3796368e+03
   1.0141845e-01   1.3550282e+03
   1.0349290e-01   1.3314561e+03
   1.0556734e-01   1.3088601e+03
   1.0764178e-01   1.2871841e+03
   1.0971622e-01   1.2663763e+03
   1.1179066e-01   1.2463889e+03
   1.1386510e-01   1.2271773e+03
   1.1593955e-01   1.2087001e+03
   1.1801399e-01   1.1909188e+03
   1.2008843e-01   1.1737976e+03
   1.2320013e-01   1.1492804e+03
   1.2631184e-01   1.1260699e+03
   1.2942354e-01   1.1040721e+03
   1.3253524e-01   1.0832017e+03
   1.3564695e-01   1.0633813e+03
   1.3875865e-01   1.0445403e+03
   1.4187035e-01   1.0266142e+03
   1.4498206e-01   1.0095441e+03
   1.4809376e-01   9.9327577e+02
   1.5120546e-01   9.7775967e+02
   1.5431717e-01   9.6295004e+02
   1.5742887e-01   9.4880474e+02
   1.6054058e-01   9.3528487e+02
   1.6365228e-01   9.2235447e+02
   1.6676398e-01   9.0998021e+02
   1.6987569e-01   8.9813121e+02
   1.7298739e-01   8.8677876e+02
   1.7609909e-01   8.7589618e+02
   1.7921080e-01   8.6545861e+02
   1.8232250e-01   8.5544289e+02
   1.8543420e-01   8.4582737e+02
   1.8854591e-01   8.3659186e+02
   1.9165761e-01   8.2771743e+02
   1.9476931e-01   8.1918635e+02
   1.9788102e-01   8.1098201e+02
   2.0099272e-01   8.0308883e+02
   2.0410443e-01   7.9549215e+02
   2.0721613e-01   7.8817818e+02
   2.1202132e-01   7.7740923e+02
   2.1682651e-01   7.6723940e+02
