	time(us)     A(t)              StDev(A)
   1.6200000e-02   3.8458333e+01   7.0770859e+00
   1.6300000e-02   3.8250000e+01   7.0356236e+00
   1.6400000e-02   3.8041667e+01   7.1352107e+00
   1.6500000e-02   3.7833333e+01   7.2511868e+00
   1.6600000e-02   3.7666667e+01   7.2930382e+00
   1.6700000e-02   3.7500000e+01   7.1990338e+00
   1.6800000e-02   3.7375000e+01   7.2520612e+00
   1.6900000e-02   3.7333333e+01   7.1970203e+00
   1.7000000e-02   3.7250000e+01   7.1277169e+00
   1.7100000e-02   3.7125000e+01   7.0421865e+00
   1.7200000e-02   3.7083333e+01   7.0644035e+00
   1.7300000e-02   3.6625000e+01   6.7875365e+00
   1.7400000e-02   3.6500000e+01   6.7373069e+00
   1.7500000e-02   3.6375000e+01   6.7360968e+00
   1.7600000e-02   3.6208333e+01   6.6592803e+00
   1.7700000e-02   3.5916667e+01   6.6523397e+00
   1.7800000e-02   3.5791667e+01   6.7177841e+00
   1.7900000e-02   3.5625000e+01   6.7167053e+00
   1.8000000e-02   3.5458333e+01   6.5606148e+00
   1.8100000e-02   3.5208333e+01   6.5870701e+00
   1.8200000e-02   3.5000000e+01   6.7502013e+00
   1.8300000e-02   3.4916667e+01   6.7496645e+00
   1.8400000e-02   3.4833333e+01   6.7480539e+00
   1.8500000e-02   3.4708333e+01   6.7982042e+00
   1.8600000e-02   3.4625000e+01   6.8449442e+00
   1.8700000e-02   3.4500000e+01   6.8015344e+00
   1.8800000e-02   3.4333333e+01   6.8376621e+00
   1.8900000e-02   3.4166667e+01   6.8249330e+00
   1.9000000e-02   3.3958333e+01   6.7918056e+00
   1.9100000e-02   3.3833333e+01   6.8693818e+00
   1.9200000e-02   3.3416667e+01   6.6784316e+00
   1.9300000e-02   3.3208333e+01   6.5539843e+00
   1.9400000e-02   3.3208333e+01   6.5539843e+00
   1.9500000e-02   3.3166667e+01   6.5519109e+00
   1.9600000e-02   3.3125000e+01   6.5561952e+00
   1.9700000e-02   3.3000000e+01   6.6003952e+00
   1.9800000e-02   3.3000000e+01   6.6003952e+00
   1.9900000e-02   3.2875000e+01   6.6287418e+00
   2.0000000e-02   3.2750000e+01   6.6545179e+00
   2.0100000e-02   3.2583333e+01   6.7044221e+00
   2.0200000e-02   3.2250000e+01   6.7839324e+00
   2.0300000e-02   3.2166667e+01   6.7222322e+00
   2.0400000e-02   3.2041667e+01   6.6363896e+00
   2.0500000e-02   3.2000000e+01   6.6266917e+00
   2.0600000e-02   3.1708333e+01   6.6755828e+00
   2.0700000e-02   3.1541667e+01   6.6527482e+00
   2.0800000e-02   3.1500000e+01   6.7049625e+00
   2.0900000e-02   3.1416667e+01   6.6914395e+00
   2.1000000e-02   3.1375000e+01   6.7037465e+00
   2.1100000e-02   3.1291667e+01   6.6625440e+00
   2.1200000e-02   3.1166667e+01   6.6179379e+00
   2.1300000e-02   3.1125000e+01   6.6156107e+00
   2.1400000e-02   3.1125000e+01   6.6156107e+00
   2.1500000e-02   3.0916667e+01   6.4868876e+00
   2.1600000e-02   3.0750000e+01   6.4958181e+00
   2.1700000e-02   3.0708333e+01   6.4570768e+00
   2.1800000e-02   3.0541667e+01   6.3037543e+00
   2.1900000e-02   3.0375000e+01   6.2610771e+00
   2.2000000e-02   3.0250000e+01   6.2432572e+00
   2.2100000e-02   3.0166667e+01   6.1831937e+00
   2.2200000e-02   3.0041667e+01   6.1324452e+00
   2.2300000e-02   2.9833333e+01   6.2112567e+00
   2.2400000e-02   2.9708333e+01   6.2239311e+00
   2.2500000e-02   2.9458333e+01   6.0070912e+00
   2.2600000e-02   2.9291667e+01   6.0683009e+00
   2.2700000e-02   2.9291667e+01   6.0683009e+00
   2.2800000e-02   2.9291667e+01   6.0683009e+00
