"Model: 'ARClock_withLocalization::PDE R1um, Gene in R<0.1, D=0'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation: 'Simulation1' (),,,,,,DA,2,,D_PRM,0,,,,,,,,,,,,,,,,,,,,,,
(SimID_1370467900_0_ (PDE Simulation)),,,,,,DR,50,,,,,,,,,,,,,,,,,,,,,,,,,
Sim time range (0.0 200.0) (saved timepoints 201),,,,,,DC,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Number of variables (46),,,,,,D_RNA,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable ('A') times (0.0 200.0) (roi=('vl2') coord=(X=-1.0 Y=0.0 Z=0.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Times (s) down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distances (um) along diameter d=2um ->,,0,0.05,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.95,1.95,2,,MAX,MIN,AVG,,RATIO
,25,0,0,0.176230213,0.176633778,0.177440907,0.179106607,0.18171718,0.185381039,0.190225399,0.196399729,0.204035635,0.212572472,0.214816857,0.206689191,0.198147212,0.190777553,0.184719527,0.179895934,0.176202336,0.173538512,0.171817427,0.170973799,0.170551985,0,0,,0.214816857,0.170551985,0.186565395,,1.259538884
,26,0,0,0.363153893,0.363620897,0.364554905,0.366481799,0.369499212,0.373728501,0.379311606,0.386418638,0.395218822,0.405197637,0.407768612,0.398145216,0.388205834,0.379637335,0.372577174,0.366938567,0.362608038,0.359476653,0.357449194,0.356453952,0.355956331,0,0,,0.407768612,0.355956331,0.374876325,,1.145557971
,27,0,0,0.394683391,0.395154783,0.396097568,0.398042762,0.401089278,0.405360256,0.411000213,0.41818363,0.427089049,0.43722537,0.439833832,0.430044729,0.419977539,0.411309528,0.404171119,0.398471491,0.394094663,0.390929982,0.388880995,0.387875175,0.387372266,0,0,,0.439833832,0.387372266,0.406518458,,1.135429329
,28,0,0,0.328835619,0.329290867,0.330201364,0.332080585,0.335025573,0.339157934,0.344621553,0.351591859,0.360253315,0.370154571,0.372710187,0.363151869,0.353367215,0.344963707,0.338056105,0.332548951,0.328324916,0.325273499,0.323299152,0.322330371,0.321845981,0,0,,0.372710187,0.321845981,0.34033739,,1.158038967
,29,0,0,0.20626182,0.206670616,0.207488209,0.209177394,0.211829454,0.21556097,0.22051291,0.226861287,0.234802613,0.243985625,0.246381652,0.237540399,0.228599655,0.220977182,0.214747536,0.209804204,0.206027128,0.20330684,0.201550677,0.200690173,0.200259921,0,0,,0.246381652,0.200259921,0.216811251,,1.230309344
,30,0,0,0.026080701,0.026244592,0.026572373,0.027257984,0.028358294,0.029957407,0.032175716,0.035196194,0.039323821,0.044977655,0.046553337,0.041083721,0.036497394,0.032953033,0.030253988,0.028227734,0.026746397,0.025715617,0.025066721,0.024753747,0.02459726,0,0,,0.046553337,0.02459726,0.031361604,,1.892622858
,31,0,0,2.19E-04,2.22E-04,2.29E-04,2.45E-04,2.72E-04,3.19E-04,3.99E-04,5.45E-04,8.31E-04,0.00137331,0.001548111,9.79E-04,6.32E-04,4.47E-04,3.44E-04,2.84E-04,2.48E-04,2.25E-04,2.12E-04,2.06E-04,2.03E-04,0,0,,0.001548111,0.000203303,0.000475475,,7.614810197
,32,0,0,1.56E-04,1.58E-04,1.64E-04,1.75E-04,1.95E-04,2.28E-04,2.87E-04,3.96E-04,6.20E-04,0.001066978,0.001210519,7.35E-04,4.62E-04,3.23E-04,2.47E-04,2.03E-04,1.77E-04,1.60E-04,1.51E-04,1.47E-04,1.45E-04,0,0,,0.001210519,0.000144706,0.000352668,,8.365347841
,33,0,0,1.58E-04,1.60E-04,1.65E-04,1.77E-04,1.97E-04,2.31E-04,2.90E-04,4.01E-04,6.27E-04,0.001076976,0.001221512,7.44E-04,4.68E-04,3.27E-04,2.50E-04,2.06E-04,1.79E-04,1.62E-04,1.53E-04,1.49E-04,1.46E-04,0,0,,0.001221512,0.000146402,0.000356584,,8.343520597
,34,0,0,1.78E-04,1.81E-04,1.86E-04,1.99E-04,2.22E-04,2.60E-04,3.27E-04,4.50E-04,6.97E-04,0.001179489,0.001334687,8.25E-04,5.24E-04,3.67E-04,2.82E-04,2.32E-04,2.01E-04,1.83E-04,1.72E-04,1.67E-04,1.65E-04,0,0,,0.001334687,0.000164944,0.000396861,,8.091754388
