"Model: 'ARClock_withLocalization::PDE R1um, Gene in R<0.1, D=0'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation: 'Simulation1' (),,,,,,DA,2,,D_PRM,0,,,,,,,,,,,,,,,,,,,,,,
(SimID_1370467900_0_ (PDE Simulation)),,,,,,DR,50,,,,,,,,,,,,,,,,,,,,,,,,,
Sim time range (0.0 200.0) (saved timepoints 201),,,,,,DC,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Number of variables (46),,,,,,D_RNA,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable ('A') times (0.0 200.0) (roi=('vl2') coord=(X=-1.0 Y=0.0 Z=0.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Times (s) down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distances (um) along diameter d=2um ->,,0,0.05,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.95,1.95,2,,MAX,MIN,AVG,,RATIO
,107,0,0,0.118989648,0.119056523,0.119190275,0.11946344,0.119883034,0.120452179,0.121163301,0.121986214,0.122842726,0.12354562,0.123675037,0.123026261,0.122077,0.121090067,0.120186421,0.11941844,0.118805679,0.118351857,0.118053644,0.117906052,0.117832256,0,0,,0.123675037,0.117832256,0.120333127,,1.049585579
,108,0,0,0.1228915,0.122958866,0.1230936,0.12336827,0.123788771,0.124356173,0.125059657,0.125864717,0.126689527,0.127351624,0.127466466,0.126850084,0.125932947,0.124965104,0.124068834,0.123300811,0.122684414,0.122226046,0.121924044,0.121774348,0.1216995,0,0,,0.127466466,0.1216995,0.12420549,,1.047386938
,109,0,0,0.127630281,0.127698034,0.12783354,0.128109214,0.128529689,0.129093813,0.12978746,0.130572075,0.131363089,0.131983977,0.132084042,0.131498714,0.130614338,0.129667306,0.128780086,0.12801315,0.127393678,0.12693093,0.126625113,0.126473257,0.12639733,0,0,,0.132084042,0.12639733,0.128908529,,1.044990764
,110,0,0,0.133458921,0.133526905,0.133662873,0.13393886,0.134358093,0.134917064,0.13559834,0.13635967,0.137114649,0.137693751,0.137778673,0.137222958,0.136371773,0.135447166,0.134570701,0.13380609,0.133184219,0.132717339,0.132407731,0.13225368,0.132176654,0,0,,0.137778673,0.132176654,0.134693624,,1.042382819
,111,0,0,0.140837668,0.140905659,0.141041639,0.141316957,0.141733298,0.142284668,0.142950348,0.143684788,0.14440066,0.1449365,0.145005437,0.144478158,0.143660866,0.142760539,0.141896759,0.1411359,0.140512432,0.140041738,0.139728383,0.139572102,0.139493962,0,0,,0.145005437,0.139493962,0.142018022,,1.039510488
,112,0,0,0.150739353,0.150806951,0.150942148,0.151215101,0.151625752,0.152165422,0.152810079,0.153511258,0.154181749,0.154669693,0.154720435,0.154221799,0.153441056,0.152568619,0.151720799,0.150966022,0.150342291,0.149868355,0.149551393,0.149392869,0.149313607,0,0,,0.154720435,0.149313607,0.151846417,,1.03621122
,113,0,0,0.165920989,0.165986837,0.166118533,0.16638343,0.166779253,0.167294127,0.167900499,0.168547608,0.169150521,0.16957158,0.169596643,0.169134405,0.168404632,0.167575389,0.166756632,0.166017718,0.165400247,0.16492696,0.164608416,0.16444847,0.164368497,0,0,,0.169596643,0.164368497,0.16689959,,1.031807471
,114,0,0,0.196053128,0.19609724,0.196185464,0.196361745,0.196621482,0.196951772,0.197328184,0.197711573,0.198044246,0.19824457,0.198207446,0.197892347,0.197401049,0.19682867,0.196246921,0.195707494,0.195245995,0.194885346,0.194638987,0.194514076,0.19445162,0,0,,0.19824457,0.19445162,0.196458064,,1.01950588
,115,0,0,0.226907725,0.226918885,0.226941206,0.226985903,0.227051867,0.227135787,0.22723134,0.22732839,0.227411989,0.227460758,0.227445092,0.227353315,0.227215173,0.227056128,0.226895158,0.226746015,0.226618295,0.226518303,0.226449853,0.226415081,0.226397695,0,0,,0.227460758,0.226397695,0.226975427,,1.004695556
,116,0,0,0.286439763,0.286449583,0.286469222,0.286508569,0.286566826,0.286641448,0.286727385,0.286816262,0.286895304,0.286945518,0.286939251,0.286865271,0.286751567,0.28662086,0.286489372,0.28636839,0.286265479,0.28618539,0.286130835,0.286103219,0.286089411,0,0,,0.286945518,0.286089411,0.286536615,,1.002992444
,117,0,0,0.375842792,0.375855046,0.375879552,0.375928641,0.376001326,0.37609448,0.376201883,0.376313203,0.376412626,0.376476577,0.376470532,0.376380404,0.376241124,0.376080865,0.375919663,0.37577141,0.375645378,0.375547358,0.37548063,0.37544687,0.375429989,0,0,,0.376476577,0.375429989,0.375972398,,1.002787704
,118,0,0,0.483504691,0.483523034,0.483559721,0.483633142,0.483741679,0.483880437,0.484039881,0.484204387,0.484350379,0.484443203,0.484432711,0.484298535,0.484091232,0.483852007,0.483610593,0.48338791,0.483198124,0.483050221,0.482949385,0.48289832,0.482872788,0,0,,0.484443203,0.482872788,0.483691542,,1.003252233
,119,0,0,0.597636275,0.597671219,0.597741108,0.597880878,0.598087099,0.598349856,0.598650242,0.598957854,0.599227658,0.599394735,0.599366183,0.599104519,0.598703392,0.598239772,0.597770307,0.597335688,0.596964032,0.596673566,0.596475084,0.596374414,0.596324079,0,0,,0.599394735,0.596324079,0.59794895,,1.005149306
,120,0,0,0.634714567,0.634817523,0.635023435,0.635440637,0.63607096,0.636903616,0.637905758,0.639009596,0.640090193,0.640913603,0.640964911,0.639998115,0.638605078,0.637100656,0.635661143,0.634387777,0.633337076,0.632537789,0.632001955,0.631733312,0.63159899,0,0,,0.640964911,0.63159899,0.636134128,,1.014828904
,121,0,0,0.317400641,0.317464876,0.317593347,0.317857262,0.318267113,0.318833203,0.319561222,0.320443011,0.321428597,0.322328447,0.32252801,0.321700433,0.320604692,0.319545547,0.318621898,0.317861409,0.317266923,0.316832372,0.316549133,0.316409577,0.316339799,0,0,,0.32252801,0.316339799,0.318830358,,1.019561911
,122,0,0,0.184646481,0.184709989,0.184837003,0.1850981,0.185504104,0.186066169,0.186791882,0.187676946,0.188678008,0.189609489,0.189821508,0.188963973,0.187850398,0.186787699,0.185868077,0.185114378,0.184526847,0.184098131,0.183818998,0.183681549,0.183612825,0,0,,0.189821508,0.183612825,0.186083931,,1.033813997
,123,0,0,0.135385033,0.135448614,0.135575775,0.135837138,0.136243453,0.136805702,0.137531079,0.138414465,0.139411012,0.140334136,0.140543231,0.139694301,0.138586483,0.137526237,0.136607267,0.135853437,0.135265515,0.134836392,0.134556951,0.13441934,0.134350534,0,0,,0.140543231,0.134350534,0.13682029,,1.046093582
,124,0,0,0.117743004,0.117806915,0.117934737,0.118197348,0.118605269,0.119168928,0.119894307,0.120773804,0.121758283,0.122658668,0.122859459,0.122033129,0.120940158,0.119885275,0.118966444,0.118210585,0.1176201,0.117188679,0.116907577,0.116769104,0.116699867,0,0,,0.122859459,0.116699867,0.119172459,,1.052781485
,125,0,0,0.112139142,0.11220351,0.112332247,0.112596572,0.113006656,0.113572113,0.114297198,0.115170937,0.116138764,0.117009244,0.117199105,0.116401786,0.115328878,0.114281656,0.113363262,0.112604695,0.11201065,0.111575988,0.111292524,0.111152821,0.111082969,0,0,,0.117199105,0.111082969,0.113560034,,1.055059163
,126,0,0,0.111260339,0.111325238,0.111455037,0.111721324,0.112133803,0.11270103,0.113425129,0.114291194,0.115238838,0.116075187,0.116252615,0.115487487,0.114438312,0.113400937,0.112483721,0.111722308,0.111124183,0.110685695,0.110399404,0.110258219,0.110187627,0,0,,0.116252615,0.110187627,0.112669887,,1.055042368
,127,0,0,0.112397801,0.112463274,0.112594219,0.112862581,0.113277466,0.113846136,0.114568235,0.115424566,0.116348986,0.117148479,0.117312557,0.11658109,0.115558477,0.114533126,0.113618146,0.112854097,0.112251648,0.111808943,0.111519479,0.111376614,0.111305182,0,0,,0.117312557,0.111305182,0.11379291,,1.053972101
,128,0,0,0.114574217,0.114640277,0.114772396,0.115042829,0.115459936,0.116029454,0.116748243,0.117592629,0.118491088,0.119251921,0.119402077,0.118704682,0.117710853,0.11669969,0.11578825,0.11502205,0.114415249,0.113968077,0.113675172,0.113530467,0.113458115,0,0,,0.119402077,0.113458115,0.115951318,,1.05238904
,129,0,0,0.117474009,0.117540642,0.117673907,0.11794628,0.118365228,0.118934731,0.119648625,0.120478724,0.12134873,0.122069724,0.122205609,0.121541966,0.120578625,0.119583748,0.118677335,0.117909707,0.11729872,0.11684696,0.11655042,0.116403744,0.116330407,0,0,,0.122205609,0.116330407,0.118828945,,1.05050444
,130,0,0,0.12105091,0.121118067,0.121252382,0.121526429,0.121946625,0.12251498,0.123222141,0.124035509,0.124874779,0.125555204,0.125676595,0.125045855,0.124114231,0.123137615,0.122237836,0.121469699,0.120854868,0.120398521,0.120098223,0.119949478,0.119875105,0,0,,0.125676595,0.119875105,0.122378812,,1.048396116
,131,0,0,0.125391809,0.125459405,0.125594597,0.125869894,0.126290513,0.126856315,0.127554658,0.12834876,0.129155168,0.129794561,0.129901275,0.129302218,0.12840311,0.127446556,0.126555075,0.125787504,0.125169331,0.124708518,0.124404409,0.124253526,0.124178084,0,0,,0.129901275,0.124178084,0.126686918,,1.046088572
,132,0,0,0.130691196,0.1307591,0.130894909,0.131170856,0.131590812,0.132152344,0.132839493,0.133611623,0.134383035,0.134980946,0.135072712,0.134503913,0.133637817,0.132702975,0.131821486,0.13105568,0.130434799,0.129969737,0.129661822,0.129508756,0.129432223,0,0,,0.135072712,0.129432223,0.131946487,,1.043578709
,133,0,0,0.137297368,0.13736539,0.137501433,0.137777199,0.138195081,0.138750218,0.139423357,0.140170379,0.140904253,0.141459763,0.141536016,0.140996105,0.140163493,0.139252016,0.138382281,0.137619542,0.136996678,0.136527648,0.136215965,0.136060687,0.135983049,0,0,,0.141536016,0.135983049,0.13850371,,1.040835731
,134,0,0,0.145889058,0.145956903,0.146092594,0.146366911,0.146780609,0.147326248,0.147981291,0.148698531,0.149390555,0.149900934,0.149960264,0.14944858,0.148650849,0.147765202,0.146909618,0.14615168,0.145527811,0.145055206,0.14473982,0.144582294,0.144503532,0,0,,0.149960264,0.144503532,0.147032309,,1.037761932
,135,0,0,0.15811306,0.158180041,0.158314002,0.158583954,0.158988715,0.159517939,0.160145686,0.160822077,0.161460671,0.161916354,0.161954636,0.161473828,0.160717357,0.159864723,0.159029443,0.158280718,0.157658537,0.157183733,0.156865196,0.156705576,0.156625766,0,0,,0.161954636,0.156625766,0.159162001,,1.034022942
,136,0,0,0.179851829,0.179913015,0.180035387,0.180280734,0.18064508,0.181114509,0.181660003,0.182231558,0.182750256,0.183095729,0.183094487,0.182675204,0.182011738,0.181247721,0.180483052,0.179784565,0.179194913,0.178739256,0.178430709,0.178275181,0.178197416,0,0,,0.183095729,0.178197416,0.180652969,,1.027488125
,137,0,0,0.211726249,0.211743098,0.211776796,0.211844229,0.211943474,0.212069058,0.212210796,0.212352716,0.212471824,0.212536174,0.212503898,0.212358987,0.212142984,0.211893684,0.211640212,0.211404249,0.211201306,0.211041829,0.210932333,0.210876597,0.210848728,0,0,,0.212536174,0.210848728,0.211786629,,1.00800311
,138,0,0,0.255453384,0.255463067,0.255482432,0.255521224,0.255578602,0.255651953,0.255736153,0.255822796,0.255899188,0.255946674,0.25593847,0.25586378,0.25574966,0.255618396,0.255486096,0.255364106,0.255260125,0.255179057,0.255123752,0.255095727,0.255081715,0,0,,0.255946674,0.255081715,0.255538874,,1.003390912
,139,0,0,0.332856148,0.332866973,0.332888623,0.332931999,0.33299624,0.333078595,0.33317357,0.333272024,0.333359944,0.333416406,0.333410751,0.333330475,0.333206622,0.33306423,0.332921077,0.332789474,0.332677624,0.332590649,0.332531444,0.33250149,0.332486513,0,0,,0.333416406,0.332486513,0.332969089,,1.002796786
,140,0,0,0.433774184,0.433789158,0.433819105,0.43387907,0.433967788,0.434081364,0.434212121,0.434347385,0.434467886,0.434545078,0.43453738,0.434427855,0.434258496,0.434063327,0.433866706,0.43368563,0.433531519,0.433411553,0.433329832,0.433288469,0.433267788,0,0,,0.434545078,0.433267788,0.433931033,,1.002948037
,141,0,0,0.5465912,0.546616276,0.546666427,0.546766749,0.546914879,0.547103887,0.547320442,0.54754295,0.547739161,0.547862214,0.547844857,0.547659897,0.547375032,0.547045854,0.546712939,0.546405176,0.54614236,0.545937204,0.545797153,0.545726169,0.545690677,0,0,,0.547862214,0.545690677,0.5468315,,1.003979428
,142,0,0,0.655660053,0.655726339,0.655858912,0.656124233,0.656516117,0.657016175,0.657588986,0.658177257,0.658695724,0.659020415,0.65896641,0.658457922,0.657684715,0.656795166,0.655897145,0.655067625,0.654359464,0.653806683,0.653429271,0.653237937,0.65314227,0,0,,0.659020415,0.65314227,0.656248991,,1.008999792
,143,0,0,0.433435936,0.433501499,0.433632625,0.433901671,0.434318401,0.434891297,0.435622218,0.436495786,0.437451033,0.438294369,0.438469407,0.437687234,0.436619241,0.435563041,0.434628073,0.433850861,0.433239523,0.432790825,0.432497581,0.432352865,0.432280506,0,0,,0.438469407,0.432280506,0.434834476,,1.014316863
,144,0,0,0.228553217,0.228616875,0.228744189,0.22900587,0.229412682,0.229975627,0.230701939,0.231586589,0.232584929,0.23351052,0.233720198,0.232868295,0.231757887,0.23069562,0.229775032,0.229019891,0.22843093,0.228001029,0.227721068,0.227583195,0.227514259,0,0,,0.233720198,0.227514259,0.229989516,,1.027277141
,145,0,0,0.151546375,0.151609877,0.15173688,0.151997946,0.152403884,0.152965814,0.153691244,0.15457571,0.155575545,0.156504951,0.156716311,0.155861017,0.154749079,0.153687295,0.152768174,0.152014767,0.151427417,0.150998817,0.150719755,0.150582341,0.150513634,0,0,,0.156716311,0.150513634,0.152983183,,1.041210071
,146,0,0,0.123409886,0.123473629,0.123601114,0.123863089,0.124270195,0.12483314,0.125558527,0.12644,0.127430554,0.128342278,0.128547217,0.12770968,0.126609274,0.125551689,0.124632793,0.123877974,0.123288802,0.122858561,0.122578312,0.122440281,0.122371266,0,0,,0.128547217,0.122371266,0.124842298,,1.050468958
,147,0,0,0.11378714,0.113851292,0.113979596,0.114243113,0.114652185,0.115216819,0.115942101,0.116818649,0.117794411,0.118678929,0.118873918,0.118063075,0.116980663,0.115929739,0.115011079,0.114253767,0.113661402,0.113228278,0.112945939,0.112806823,0.112737265,0,0,,0.118873918,0.112737265,0.115212199,,1.054433232
,148,0,0,0.11130271,0.111367364,0.111496674,0.111762061,0.112173455,0.112739912,0.11346456,0.114334307,0.115291386,0.116143425,0.11632656,0.115546756,0.114486563,0.11344451,0.112526653,0.111766506,0.111170252,0.110733535,0.110448559,0.110308064,0.110237817,0,0,,0.11632656,0.110237817,0.112717697,,1.055232799
,149,0,0,0.111724324,0.111789537,0.111919962,0.112187389,0.112601207,0.113169289,0.113892428,0.114753382,0.115688554,0.11650482,0.116674963,0.11592832,0.114893506,0.113862501,0.112946373,0.112183459,0.111582962,0.111142184,0.110854178,0.110712088,0.110641042,0,0,,0.116674963,0.110641042,0.113126308,,1.054536005
,150,0,0,0.113500283,0.11356608,0.113697674,0.113967188,0.114383335,0.114952565,0.115673015,0.116523032,0.117433437,0.118211759,0.118368202,0.117655553,0.116648595,0.115630814,0.114717615,0.113952303,0.113347441,0.112902292,0.112610956,0.112467093,0.112395162,0,0,,0.118368202,0.112395162,0.114885924,,1.05314322
,151,0,0,0.116093169,0.116159549,0.116292309,0.116563839,0.116982023,0.117551657,0.118267956,0.119104748,0.119987788,0.120726732,0.12086904,0.120190363,0.119213192,0.11821077,0.117301912,0.11653482,0.115925675,0.115475976,0.115181083,0.115035304,0.114962415,0,0,,0.12086904,0.114962415,0.117458587,,1.051378754
,152,0,0,0.119362599,0.11942953,0.119563392,0.119836733,0.120256458,0.120825485,0.121535906,0.122357073,0.123210376,0.123909035,0.124036938,0.123391599,0.12244565,0.121460623,0.120557669,0.119789634,0.11917647,0.118722169,0.118423563,0.118275755,0.11820185,0,0,,0.124036938,0.11820185,0.120703262,,1.049365453
,153,0,0,0.123343668,0.123411081,0.123545907,0.123820708,0.124241254,0.124808391,0.125510956,0.126314005,0.127135385,0.127793199,0.127906509,0.127293434,0.126379692,0.125413944,0.12451854,0.123750575,0.123133828,0.122674993,0.122372593,0.122222673,0.122147714,0,0,,0.127906509,0.122147714,0.124654241,,1.047146155
,154,0,0,0.128182263,0.128250048,0.128385618,0.12866136,0.129081767,0.129645447,0.130337927,0.131120249,0.131907608,0.132524163,0.132622669,0.132040503,0.131159575,0.130214812,0.129328635,0.128561883,0.127942128,0.127478936,0.127172722,0.127020639,0.126944597,0,0,,0.132622669,0.126944597,0.129456359,,1.044728738
,155,0,0,0.134145782,0.134213779,0.134349773,0.134625743,0.135044763,0.135603071,0.136282887,0.1370416,0.137792665,0.138367344,0.138450649,0.13789795,0.137050261,0.136128094,0.135252855,0.134488563,0.133866484,0.133399189,0.133089187,0.132934904,0.132857763,0,0,,0.138450649,0.132857763,0.135375396,,1.042096796
,156,0,0,0.141728813,0.141796786,0.141932732,0.142207904,0.142623817,0.143174207,0.143838014,0.144569363,0.145280888,0.145812036,0.145879215,0.145354874,0.144541209,0.143643565,0.142781252,0.142020886,0.141397308,0.140926237,0.140612495,0.140455979,0.140377721,0,0,,0.145879215,0.140377721,0.142902633,,1.03919065
,157,0,0,0.151997263,0.152064779,0.15219981,0.152472338,0.152882105,0.153420129,0.154062026,0.154759049,0.15542408,0.155906418,0.155955,0.155459532,0.154683008,0.153813927,0.152968151,0.152214276,0.151590679,0.151116486,0.150799178,0.150640429,0.150561054,0,0,,0.155955,0.150561054,0.153094748,,1.035825641
,158,0,0,0.16810199,0.168167389,0.168298187,0.168561143,0.168953694,0.169463576,0.170062867,0.170700686,0.171292698,0.171703499,0.171724744,0.171268042,0.1705465,0.169724839,0.168911838,0.16817675,0.167561522,0.167089375,0.166771309,0.166611511,0.166531613,0,0,,0.171724744,0.166531613,0.169058275,,1.03118406
,159,0,0,0.199628191,0.199665409,0.199739844,0.199888529,0.200107293,0.20038467,0.200699276,0.201017311,0.201289633,0.201447709,0.201404875,0.20112818,0.20070134,0.200204122,0.19969765,0.199226705,0.198822658,0.198506094,0.198289385,0.198179339,0.198124317,0,0,,0.201447709,0.198124317,0.199912025,,1.016774279
,160,0,0,0.231446784,0.231457419,0.231478688,0.231521284,0.231584177,0.231664284,0.231755673,0.231848793,0.231929476,0.231977335,0.231963875,0.2318778,0.231747773,0.231598095,0.231446745,0.231306667,0.231186836,0.231093109,0.231028999,0.23099645,0.230980176,0,0,,0.231977335,0.230980176,0.231518592,,1.004317077
,161,0,0,0.29458054,0.294590487,0.294610379,0.294650237,0.294709257,0.294784876,0.294872,0.29496217,0.295042458,0.295093621,0.295087582,0.295012922,0.294898067,0.294766044,0.294633266,0.294511133,0.294407273,0.294326465,0.294271433,0.29424358,0.294229653,0,0,,0.295093621,0.294229653,0.294680164,,1.002936373
,162,0,0,0.38643985,0.386452527,0.386477881,0.386528662,0.386603844,0.386700184,0.386811239,0.386926317,0.387029068,0.38709514,0.387088894,0.386995788,0.386851872,0.386686238,0.38651959,0.386366299,0.386235963,0.386134584,0.386065565,0.386030643,0.386013182,0,0,,0.38709514,0.386013182,0.386573968,,1.002802905
,163,0,0,0.495348286,0.495367633,0.495406326,0.495483755,0.49559819,0.49574444,0.495912405,0.496085576,0.496239092,0.49633648,0.496325053,0.496183426,0.495964698,0.495712212,0.495457308,0.495222085,0.495021539,0.494865204,0.494758595,0.494704598,0.494677599,0,0,,0.49633648,0.494677599,0.495543548,,1.00335346
,164,0,0,0.609309564,0.609347949,0.609424719,0.60957825,0.609804756,0.6100933,0.610423052,0.610760551,0.611056303,0.611239036,0.611206639,0.610917911,0.610475891,0.609965109,0.609447847,0.608968901,0.608559266,0.608239063,0.608020229,0.607909225,0.607853723,0,0,,0.611239036,0.607853723,0.60964768,,1.005569289
,165,0,0,0.597888037,0.597968909,0.598130653,0.598460464,0.598964286,0.599640692,0.600472899,0.601416257,0.602373653,0.603135881,0.603215689,0.602374423,0.601177984,0.59991886,0.598743156,0.597724049,0.596896402,0.596274193,0.595860458,0.595654024,0.595550807,0,0,,0.603215689,0.595550807,0.599135323,,1.01287024
,166,0,0,0.296728198,0.296792269,0.29692041,0.297183692,0.297592684,0.298157896,0.298885469,0.299768138,0.300757416,0.301664557,0.301867011,0.301032672,0.299932782,0.298872744,0.297949983,0.297191053,0.296598182,0.296164995,0.295882719,0.295743658,0.295674128,0,0,,0.301867011,0.295674128,0.298160031,,1.020944963
,167,0,0,0.176909659,0.176973153,0.177100142,0.177361188,0.177767118,0.178329096,0.179054727,0.179939754,0.180940894,0.181872615,0.18208475,0.18122701,0.180113368,0.17905074,0.178131255,0.177377707,0.176790313,0.176361706,0.176082648,0.175945238,0.175876532,0,0,,0.18208475,0.175876532,0.178347124,,1.035298726
,168,0,0,0.132562165,0.132625772,0.132752985,0.133014446,0.133420888,0.133983247,0.134708624,0.135591694,0.136587253,0.137508486,0.137716894,0.136869864,0.135763274,0.134703471,0.13378452,0.133030536,0.132442416,0.132013116,0.131733547,0.131595869,0.13152703,0,0,,0.137716894,0.13152703,0.133996957,,1.047061532
,169,0,0,0.116781348,0.116845302,0.116973211,0.117235984,0.117644113,0.11820795,0.11893332,0.119812302,0.120795229,0.121692754,0.121892499,0.121068976,0.119977895,0.118923709,0.1180049,0.117248778,0.116657956,0.116226232,0.11594491,0.115806323,0.11573703,0,0,,0.121892499,0.11573703,0.118210034,,1.05318496
,170,0,0,0.11189591,0.111960331,0.112089173,0.112353694,0.112764022,0.113329671,0.114054691,0.11492772,0.115893592,0.11676067,0.116949287,0.116155222,0.11508464,0.114038346,0.113120034,0.112361169,0.111766716,0.111331677,0.111047937,0.11090809,0.110838166,0,0,,0.116949287,0.110838166,0.11331575,,1.055135528
,171,0,0,0.111310215,0.111375173,0.111505089,0.11177159,0.112184322,0.11275172,0.113475663,0.11434081,0.115286162,0.116118768,0.116294836,0.115533179,0.11448666,0.113450439,0.112533404,0.1117717,0.11117313,0.110734217,0.110447609,0.110306257,0.110235581,0,0,,0.116294836,0.110235581,0.112718406,,1.054966416
,172,0,0,0.112585398,0.112650932,0.112781999,0.11305058,0.113465709,0.1140345,0.114756319,0.115611508,0.116533338,0.117328863,0.117491507,0.116763597,0.115743897,0.114719928,0.113805255,0.113040954,0.112438048,0.111994885,0.111705072,0.111562023,0.111490498,0,0,,0.117491507,0.111490498,0.1139788,,1.053825298
,173,0,0,0.114845714,0.114911835,0.115044077,0.115314721,0.115732042,0.116301604,0.11701996,0.117862964,0.118758562,0.119515276,0.119663954,0.118970113,0.117979399,0.116969842,0.116058855,0.115292468,0.114685219,0.114237571,0.113944293,0.113799388,0.113726936,0,0,,0.119663954,0.113726936,0.116220704,,1.05220415
,174,0,0,0.117815705,0.117882395,0.118015776,0.11828834,0.11870745,0.119276891,0.119990172,0.120818638,0.121685535,0.122402316,0.122536695,0.121876539,0.120916465,0.119923407,0.11901761,0.118249881,0.117638473,0.117186231,0.116889303,0.116742415,0.116668971,0,0,,0.122536695,0.116668971,0.119168058,,1.050293784
,175,0,0,0.121466553,0.121533761,0.121668177,0.121942377,0.12236266,0.122930819,0.12363716,0.124448635,0.125284568,0.125960723,0.126080588,0.125453223,0.124524967,0.123550366,0.122651376,0.121883245,0.12126804,0.120811218,0.120510523,0.120361557,0.120287074,0,0,,0.126080588,0.120287074,0.122791315,,1.048164059
,176,0,0,0.125896455,0.12596409,0.126099359,0.126374756,0.12679536,0.127360802,0.128058091,0.128850028,0.12965288,0.130287963,0.13039313,0.129797303,0.128901626,0.127947265,0.127056749,0.126289305,0.125670818,0.125209549,0.124905042,0.124753932,0.124678378,0,0,,0.13039313,0.124678378,0.127187756,,1.045835955
,177,0,0,0.13131259,0.131380516,0.131516367,0.131792339,0.132212156,0.132773134,0.133458971,0.134228644,0.134996274,0.135589818,0.13568,0.135114277,0.134251649,0.133319162,0.132438807,0.131673252,0.131052124,0.130586631,0.13027832,0.130125027,0.13004838,0,0,,0.13568,0.13004838,0.132563259,,1.04330404
,178,0,0,0.138086304,0.138154324,0.138290364,0.13856605,0.138983613,0.13953793,0.140209406,0.140953581,0.141683337,0.142234311,0.142308884,0.14177193,0.140942863,0.14003394,0.139165548,0.138403214,0.137780188,0.137310761,0.136998686,0.136843174,0.136765418,0,0,,0.142308884,0.136765418,0.139286849,,1.040532656
,179,0,0,0.146951681,0.147019481,0.147155083,0.147429136,0.147842213,0.148386589,0.149039382,0.149753084,0.150440306,0.150945635,0.151003041,0.150494348,0.149700458,0.148817758,0.147963869,0.147206588,0.146582701,0.146109761,0.145793997,0.145636236,0.145557356,0,0,,0.151003041,0.145557356,0.148087081,,1.037412641
,180,0,0,0.159751497,0.159818289,0.159951874,0.160220962,0.160624134,0.161150704,0.161774361,0.162444986,0.163076386,0.163524961,0.163560501,0.163083523,0.162332437,0.161484376,0.160652174,0.159905125,0.159283599,0.158808854,0.158490141,0.158330365,0.158250477,0,0,,0.163560501,0.158250477,0.160786654,,1.033554556
,181,0,0,0.183312565,0.183371603,0.18348968,0.183726225,0.184076929,0.184527618,0.185049406,0.185593299,0.186083078,0.186404296,0.186395648,0.185991567,0.18535255,0.184614381,0.18387305,0.183193755,0.182618758,0.182173446,0.181871402,0.181718985,0.181642777,0,0,,0.186404296,0.181642777,0.184051477,,1.026213642
,182,0,0,0.214718391,0.214733138,0.214762632,0.214821672,0.214908623,0.215018776,0.215143312,0.21526834,0.215373762,0.215431484,0.21540412,0.215277267,0.215088188,0.214870215,0.214648849,0.214442979,0.214266061,0.214127126,0.214031778,0.213983258,0.213958998,0,0,,0.215431484,0.213958998,0.214775189,,1.006882093
,183,0,0,0.262088072,0.262097719,0.262117013,0.26215566,0.262212838,0.262285973,0.262370006,0.26245661,0.262533168,0.262581076,0.26257351,0.26249963,0.26238655,0.262256506,0.262125507,0.262004793,0.261901961,0.261821829,0.261767185,0.261739502,0.26172566,0,0,,0.262581076,0.26172566,0.262176227,,1.003268369
,184,0,0,0.342502746,0.342513853,0.342536065,0.342580568,0.342646477,0.342730969,0.342828414,0.342929436,0.343019672,0.34307767,0.343071991,0.342989807,0.34286295,0.342717085,0.342570433,0.342435609,0.342321024,0.342231923,0.342171273,0.342140588,0.342125246,0,0,,0.34307767,0.342125246,0.342619229,,1.002783848
,185,0,0,0.445198279,0.445213926,0.44524522,0.44530787,0.445400546,0.445519155,0.445655651,0.445796775,0.4459224,0.446002759,0.445994555,0.44588016,0.445703283,0.445499386,0.445293894,0.445104584,0.444943418,0.444817931,0.444732435,0.444689157,0.444667518,0,0,,0.446002759,0.444667518,0.445361376,,1.003002786
,186,0,0,0.558576349,0.558603228,0.558656986,0.558764513,0.558923249,0.559125714,0.559357558,0.559595574,0.559805186,0.559936245,0.559916886,0.559718065,0.559412135,0.559058559,0.558700838,0.558370012,0.558087398,0.557866719,0.557716033,0.557639644,0.55760145,0,0,,0.559936245,0.55760145,0.558830112,,1.004187212
,187,0,0,0.663988209,0.66406805,0.664227731,0.66454752,0.665020519,0.665625472,0.666320822,0.667038638,0.667676802,0.668084748,0.66802937,0.667413683,0.666479991,0.66540993,0.664333313,0.663341644,0.662497044,0.661838996,0.661390341,0.661163093,0.661049469,0,0,,0.668084748,0.661049469,0.664740256,,1.010642591
,188,0,0,0.401889353,0.401954473,0.402084712,0.402352042,0.402766477,0.403337133,0.404067183,0.404943642,0.405909006,0.406770645,0.40695421,0.406159111,0.405083478,0.404027574,0.403097579,0.402327082,0.40172238,0.401279224,0.400989897,0.400847203,0.400775856,0,0,,0.40695421,0.400775856,0.403301822,,1.015415982
