iter A R
74500000 3 377
74600000 2 359
74700000 1 354
74800000 2 342
74900000 4 349
75000000 1 341
75100000 1 337
75200000 0 341
75300000 4 345
75400000 2 327
75500000 4 317
75600000 2 308
75700000 8 302
75800000 1 295
75900000 1 296
76000000 0 301
76100000 0 318
76200000 5 329
76300000 1 322
76400000 1 330
76500000 0 330
76600000 3 334
76700000 1 329
76800000 1 328
76900000 0 331
77000000 3 337
77100000 3 333
77200000 3 330
77300000 0 319
77400000 2 314
77500000 5 311
77600000 3 305
77700000 3 309
77800000 2 310
77900000 2 306
78000000 0 310
78100000 3 302
78200000 1 287
78300000 1 281
78400000 4 291
78500000 2 285
78600000 0 275
78700000 2 280
78800000 0 279
78900000 2 279
79000000 1 274
79100000 3 278
79200000 2 265
79300000 7 267
79400000 5 252
79500000 3 247
79600000 4 252
79700000 2 248
79800000 1 250
79900000 9 246
80000000 0 233
80100000 4 231
80200000 3 231
80300000 4 224
80400000 1 226
80500000 5 236
80600000 0 229
80700000 3 234
80800000 1 234
80900000 4 231
81000000 6 216
81100000 3 204
81200000 1 189
81300000 1 188
81400000 2 197
81500000 4 202
81600000 1 210
81700000 1 216
81800000 0 223
81900000 1 227
82000000 2 226
82100000 3 222
82200000 2 229
82300000 1 222
82400000 1 219
82500000 2 229
82600000 2 229
82700000 5 230
82800000 3 209
82900000 8 194
83000000 7 183
83100000 2 179
83200000 7 177
83300000 2 176
83400000 2 182
83500000 3 173
83600000 1 170
83700000 4 171
83800000 8 162
83900000 2 149
84000000 7 150
84100000 9 150
84200000 4 141
84300000 3 159
84400000 4 167
84500000 2 166
84600000 4 174
84700000 2 181
84800000 2 179
84900000 7 184
85000000 5 172
85100000 5 166
85200000 4 162
85300000 3 162
85400000 5 165
85500000 9 164
85600000 6 158
85700000 5 166
85800000 1 162
85900000 1 167
86000000 0 182
86100000 6 191
86200000 7 181
86300000 7 154
86400000 4 127
86500000 5 125
86600000 6 116
86700000 5 101
86800000 7 109
86900000 6 119
87000000 7 116
87100000 8 108
87200000 4 107
87300000 6 111
87400000 4 115
87500000 3 117
87600000 2 119
87700000 3 120
87800000 3 134
87900000 1 136
88000000 0 144
88100000 3 152
88200000 5 155
88300000 7 147
88400000 4 136
88500000 2 137
88600000 3 137
88700000 6 138
88800000 5 137
88900000 3 136
89000000 1 129
89100000 6 132
89200000 4 141
89300000 13 124
89400000 8 100
89500000 6 92
89600000 8 92
89700000 6 84
89800000 6 95
89900000 4 88
90000000 6 96
90100000 8 87
90200000 32 71
90300000 31 51
90400000 46 31
90500000 95 14
90600000 114 7
90700000 169 6
90800000 173 4
90900000 188 4
91000000 211 2
91100000 215 4
91200000 225 3
91300000 235 5
91400000 246 2
91500000 266 3
91600000 316 3
91700000 385 2
91800000 423 0
91900000 471 2
92000000 490 0
92100000 552 3
92200000 591 0
92300000 638 0
92400000 670 3
92500000 703 1
92600000 724 2
92700000 703 0
92800000 691 1
92900000 707 2
93000000 730 0
93100000 766 1
93200000 785 2
93300000 820 0
93400000 811 0
93500000 856 2
93600000 917 1
93700000 939 1
93800000 983 1
93900000 996 2
94000000 995 0
94100000 1019 2
94200000 1034 3
94300000 1044 0
94400000 1066 2
94500000 1058 0
94600000 1069 3
94700000 1080 2
94800000 1073 1
94900000 1102 0
95000000 1111 3
95100000 1119 0
95200000 1111 2
95300000 1098 2
95400000 1143 3
95500000 1165 1
95600000 1161 3
95700000 1178 0
95800000 1193 4
95900000 1178 2
96000000 1167 0
96100000 1148 1
96200000 1136 1
96300000 1124 1
96400000 1155 1
96500000 1171 0
96600000 1174 2
96700000 1154 2
96800000 1169 1
96900000 1149 5
97000000 1115 4
97100000 1094 4
